"Relative Energy Availability (fraction of Earth)","P Concentration (mol/m^3)","Steady State Biomass (cells/ml)","Flow (Mortality) Rate (same units as growth rate)"
1.584893192461114e-7,0.015848931924611134,149.59640523964043,2.2400906350740836e-6
1.9952623149688787e-7,0.015848931924611134,188.33069349583494,2.8201066866158656e-6
2.5118864315095823e-7,0.015848931924611134,237.09426006710538,3.5503034351050448e-6
3.162277660168379e-7,0.015848931924611134,298.4839321825688,4.469566363507048e-6
3.981071705534969e-7,0.015848931924611134,375.76891723193387,5.626849326725888e-6
5.011872336272725e-7,0.015848931924611134,473.0648961265085,7.083781469327446e-6
6.30957344480193e-7,0.015848931924611134,595.5531930727965,8.917949117330303e-6
7.943282347242822e-7,0.015848931924611134,749.7566904839113,0.000011227027398446573
1.e-6,0.015848931924611134,943.887182292371,0.000014133981585576143
1.2589254117941661e-6,0.015848931924611134,1188.2826594140408,0.000017793615108037768
1.584893192461114e-6,0.015848931924611134,1495.9578096507198,0.000022400812863068074
1.995262314968883e-6,0.015848931924611134,1883.2970404026096,0.000028200918698378264
2.5118864315095823e-6,0.015848931924611134,2370.9269183345887,0.000035502799521334324
3.162277660168379e-6,0.015848931924611134,2984.814467137041,0.000044695291455831066
3.981071705534969e-6,0.015848931924611134,3757.649780212514,0.00005626790340447036
5.011872336272725e-6,0.015848931924611134,4730.5865299484085,0.00007083687982685785
6.309573444801943e-6,0.015848931924611134,5955.432983721508,0.00008917800951607179
7.943282347242822e-6,0.015848931924611134,7497.410084856446,0.00011226792572835288
0.00001,0.015848931924611134,9438.623282079026,0.00014133609414526877
0.000012589254117941661,0.015848931924611134,11882.432686914064,0.00017793025261590579
0.00001584893192461114,0.015848931924611134,14958.953801581843,0.0002239987802925632
0.00001995262314968883,0.015848931924611134,18831.980975552502,0.0002819943710620103
0.000025118864315095822,0.015848931924611134,23707.70107143123,0.0003550045139501902
0.000031622776601683795,0.015848931924611134,29845.65943355664,0.00044691570004312095
0.000039810717055349695,0.015848931924611134,37572.55906972456,0.0005626200545670246
0.00005011872336272725,0.015848931924611134,47299.623036244906,0.0007082753251965893
0.00006309573444801943,0.015848931924611134,59544.43692963269,0.000891631956511488
0.00007943282347242822,0.015848931924611134,74958.42247132747,0.0011224444856889353
0.0001,0.015848931924611134,94361.38591075386,0.0014129888781737002
0.00012589254117941688,0.015848931924611134,118784.95045223323,0.0017787128947237701
0.00015848931924611142,0.015848931924611134,149527.13714445362,0.002239053398073614
0.00019952623149688788,0.015848931924611134,188220.92409438884,0.002818462974216047
0.0002511886431509582,0.015848931924611134,236920.3135431369,0.0035476987203923085
0.00031622776601683794,0.015848931924611134,298208.29799623403,0.0044654389545165565
0.00039810717055349773,0.015848931924611134,375332.1711090243,0.005620309391171338
0.0005011872336272725,0.015848931924611134,472372.9089077182,0.00707341949458921
0.0006309573444801943,0.015848931924611134,594456.8832536156,0.00890153272426697
0.0007943282347242822,0.015848931924611134,748019.9859179865,0.011201021589001698
0.001,0.015848931924611134,941136.3442418315,0.014092789910031801
0.0012589254117941688,0.015848931924611134,1.1839261689674612e6,0.017728380027325435
0.001584893192461114,0.015848931924611134,1.4890597987783821e6,0.022297520477293203
0.001995262314968883,0.015848931924611134,1.8723774932185696e6,0.02803740691308414
0.002511886431509582,0.015848931924611134,2.3536465970334476e6,0.03524404005582598
0.0031622776601683794,0.015848931924611134,2.957478694241821e6,0.04428595936853316
0.003981071705534978,0.015848931924611134,3.714428198118565e6,0.05562069359264996
0.005011872336272725,0.015848931924611134,4.662288755751575e6,0.06981417340506559
0.006309573444801942,0.015848931924611134,5.847592254499588e6,0.08756317788213497
0.00794328234724282,0.015848931924611134,7.3272932740980955e6,0.10972055786904851
0.01,0.015848931924611134,9.17058424478e6,0.13732241657083447
0.012589254117941687,0.015848931924611134,1.146072656514211e7,0.1716155291282243
0.01584893192461114,0.015848931924611134,1.429669277592911e7,0.2140819329018079
0.01995262314968883,0.015848931924611134,1.779428769066958e7,0.2664557155374582
0.025118864315095822,0.015848931924611134,2.208625010384163e7,0.3307245379675509
0.03162277660168379,0.015848931924611134,2.7320641519479975e7,0.4091055068662587
0.039810717055349776,0.015848931924611134,3.365663824355781e7,0.5039821644827586
0.05011872336272725,0.015848931924611134,4.1256730397113875e7,0.6177876748875522
0.06309573444801943,0.015848931924611134,5.027441772430586e7,0.7528205782006716
0.07943282347242822,0.015848931924611134,6.083694263368643e7,0.9109862312201492
0.1,0.015848931924611134,7.302357761505443e7,1.0934716782581266
0.12589254117941687,0.015848931924611134,8.684153746591464e7,1.300384955335209
0.15848931924611143,0.015848931924611134,1.022034953033261e8,1.5304184098224056
0.19952623149688828,0.015848931924611134,1.189123206656887e8,1.7806201653022404
0.25118864315095824,0.015848931924611134,1.3665906140556568e8,2.046363901972361
0.31622776601683794,0.015848931924611134,1.5503845517278838e8,2.3215811291254265
